Date,Phone,Mobile,Online
01/01/2019,249,116,50
01/02/2019,241,68,50
01/03/2019,272,91,52
01/04/2019,277,90,54
01/05/2019,257,81,49
01/06/2019,242,90,61
01/07/2019,250,87,55
01/08/2019,225,86,56
01/09/2019,241,96,52
01/10/2019,187,64,47
01/11/2019,267,88,52
01/12/2019,243,81,56
01/13/2019,264,62,45
01/14/2019,258,76,41
01/15/2019,247,77,61
01/16/2019,234,73,56
01/17/2019,223,74,52
01/18/2019,213,72,56
01/19/2019,230,67,44
01/20/2019,215,65,58
01/21/2019,160,77,47
01/22/2019,216,64,44
01/23/2019,221,68,49
01/24/2019,216,93,36
01/25/2019,257,66,48
01/26/2019,250,86,38
01/27/2019,232,67,61
01/28/2019,234,59,53
01/29/2019,248,76,54
01/30/2019,261,95,54
01/31/2019,213,99,63
